rep,transport,req,reply,conc,threads,mrps,gbps,p50,p99,host_client_pct,host_server_pct,host_total_pct,dpu_arm_pct,host_pct_per_krps
1,tcp,64,8,32,1,0.512405,0.2624,60.00,67.00,52.4,48.5,100.9,0.0,0.197
1,direct,64,8,32,1,1.361615,0.6971,20.00,25.00,67.8,38.4,106.2,0.0,0.078
1,dpumesh,64,8,32,1,0.252666,0.1294,116.00,285.00,14.6,11.8,26.4,264.5,0.104
1,tcp,1024,8,32,1,0.418671,3.4298,74.00,94.00,53.4,45.9,99.3,0.0,0.237
1,direct,1024,8,32,1,0.922713,7.5589,32.00,36.00,58,41.2,99.2,0.0,0.108
1,dpumesh,1024,8,32,1,0.247642,2.0287,118.00,288.00,21.2,26.1,47.3,303.4,0.191
1,tcp,8192,8,32,1,0.161988,10.6160,194.00,395.00,62,57.8,119.8,0.0,0.740
1,direct,8192,8,32,1,0.476341,31.2175,72.00,94.00,98.6,91.3,189.9,0.0,0.399
1,dpumesh,8192,8,32,1,0.178872,11.7225,185.00,248.00,33.5,57.3,90.8,420.1,0.508
1,tcp,65536,8,32,1,0.023780,12.4678,1504.00,1844.00,75.1,64.9,140,0.0,5.887
1,direct,65536,8,32,1,0.066212,34.7140,445.00,921.00,98.8,84.3,183.1,0.0,2.765
1,dpumesh,65536,8,32,1,0.016137,8.4604,240.00,304.00,31.8,53.2,85,367.0,5.267
1,tcp,1048576,8,32,1,0.001697,14.2336,7001.00,9378.00,98.2,65,163.2,0.0,96.170
1,direct,1048576,8,32,1,0.003653,30.6441,8481.00,17029.00,98,59.2,157.2,0.0,43.033
1,dpumesh,1048576,8,32,1,0.001668,13.9940,752.00,825.00,32.8,57.4,90.2,356.1,54.077
2,direct,64,8,32,1,1.374564,0.7038,21.00,25.00,71.8,39.7,111.5,0.0,0.081
2,dpumesh,64,8,32,1,0.258353,0.1323,117.00,232.00,14.9,11.6,26.5,266.1,0.103
2,tcp,64,8,32,1,0.485996,0.2488,63.00,69.00,55.2,47.1,102.3,0.0,0.210
2,direct,1024,8,32,1,0.910896,7.4621,32.00,37.00,60.9,40.5,101.4,0.0,0.111
2,dpumesh,1024,8,32,1,0.239692,1.9636,118.00,343.00,19.7,23.9,43.6,313.6,0.182
2,tcp,1024,8,32,1,0.398830,3.2672,78.00,86.00,54,46.4,100.4,0.0,0.252
2,direct,8192,8,32,1,0.477760,31.3104,72.00,93.00,98.5,91.6,190.1,0.0,0.398
2,dpumesh,8192,8,32,1,0.182703,11.9736,185.00,246.00,34.1,56.5,90.6,381.0,0.496
2,tcp,8192,8,32,1,0.161533,10.5862,195.00,386.00,61.1,57.9,119,0.0,0.737
2,direct,65536,8,32,1,0.063778,33.4381,467.00,949.00,98.7,78.9,177.6,0.0,2.785
2,dpumesh,65536,8,32,1,0.016164,8.4744,238.00,307.00,31.3,53.1,84.4,367.8,5.221
2,tcp,65536,8,32,1,0.022535,11.8148,1540.00,1850.00,71.9,62.5,134.4,0.0,5.964
2,direct,1048576,8,32,1,0.003680,30.8660,8417.00,16891.00,99,60,159,0.0,43.207
2,dpumesh,1048576,8,32,1,0.001668,13.9949,763.00,834.00,33.8,56.7,90.5,365.7,54.257
2,tcp,1048576,8,32,1,0.001651,13.8489,7261.00,9737.00,98.5,64,162.5,0.0,98.425
3,dpumesh,64,8,32,1,0.235518,0.1206,117.00,401.00,13.7,11.8,25.5,251.7,0.108
3,tcp,64,8,32,1,0.508889,0.2606,60.00,66.00,57.3,44.5,101.8,0.0,0.200
3,direct,64,8,32,1,1.342296,0.6873,21.00,27.00,71.6,41.1,112.7,0.0,0.084
3,dpumesh,1024,8,32,1,0.238424,1.9532,118.00,403.00,19.7,24.2,43.9,314.2,0.184
3,tcp,1024,8,32,1,0.429439,3.5180,71.00,79.00,54,44.8,98.8,0.0,0.230
3,direct,1024,8,32,1,0.956812,7.8382,31.00,35.00,58.5,38.8,97.3,0.0,0.102
3,dpumesh,8192,8,32,1,0.179860,11.7873,185.00,252.00,33.8,57.6,91.4,419.9,0.508
3,tcp,8192,8,32,1,0.158965,10.4179,195.00,395.00,60.4,56.4,116.8,0.0,0.735
3,direct,8192,8,32,1,0.474706,31.1103,72.00,94.00,98.6,91.5,190.1,0.0,0.400
3,dpumesh,65536,8,32,1,0.016099,8.4406,238.00,318.00,31,55,86,351.4,5.342
3,tcp,65536,8,32,1,0.023205,12.1659,1516.00,1842.00,73.4,63.9,137.3,0.0,5.917
3,direct,65536,8,32,1,0.062486,32.7607,490.00,989.00,99,78.1,177.1,0.0,2.834
3,dpumesh,1048576,8,32,1,0.001679,14.0838,760.00,892.00,33.4,56.9,90.3,366.4,53.782
3,tcp,1048576,8,32,1,0.001718,14.4079,7022.00,9392.00,98.1,65.9,164,0.0,95.460
3,direct,1048576,8,32,1,0.003691,30.9663,8390.00,16848.00,99,60,159,0.0,43.078
4,tcp,64,8,32,1,0.488009,0.2499,63.00,70.00,55.4,47,102.4,0.0,0.210
4,direct,64,8,32,1,1.252662,0.6414,24.00,29.00,64.7,39.2,103.9,0.0,0.083
4,dpumesh,64,8,32,1,0.248952,0.1275,117.00,352.00,14.5,11.3,25.8,263.7,0.104
4,tcp,1024,8,32,1,0.419065,3.4330,74.00,82.00,52.3,46.8,99.1,0.0,0.236
4,direct,1024,8,32,1,0.926953,7.5936,32.00,36.00,60.9,38.4,99.3,0.0,0.107
4,dpumesh,1024,8,32,1,0.249416,2.0432,118.00,288.00,22.5,27,49.5,303.8,0.198
4,tcp,8192,8,32,1,0.161476,10.5825,194.00,395.00,61.1,57.5,118.6,0.0,0.734
4,direct,8192,8,32,1,0.473733,31.0466,71.00,94.00,98.6,93,191.6,0.0,0.404
4,dpumesh,8192,8,32,1,0.180773,11.8471,185.00,246.00,34.6,59.7,94.3,424.2,0.522
4,tcp,65536,8,32,1,0.024062,12.6152,1502.00,1852.00,76,65.8,141.8,0.0,5.893
4,direct,65536,8,32,1,0.064986,34.0715,464.00,943.00,98.7,78.5,177.2,0.0,2.727
4,dpumesh,65536,8,32,1,0.016277,8.5340,236.00,318.00,31.4,49.3,80.7,362.1,4.958
4,tcp,1048576,8,32,1,0.001649,13.8355,7271.00,9757.00,98.6,63.3,161.9,0.0,98.181
4,direct,1048576,8,32,1,0.003680,30.8717,8417.00,16888.00,98.8,59.8,158.6,0.0,43.098
4,dpumesh,1048576,8,32,1,0.001669,14.0026,757.00,939.00,33.7,57.5,91.2,364.6,54.643
5,direct,64,8,32,1,1.321352,0.6765,20.00,27.00,67.2,38,105.2,0.0,0.080
5,dpumesh,64,8,32,1,0.251896,0.1290,116.00,287.00,14.2,11.9,26.1,264.2,0.104
5,tcp,64,8,32,1,0.508218,0.2602,60.00,68.00,55.6,45.6,101.2,0.0,0.199
5,direct,1024,8,32,1,0.920564,7.5413,32.00,37.00,60.1,40.3,100.4,0.0,0.109
5,dpumesh,1024,8,32,1,0.250273,2.0502,118.00,283.00,20.2,24.9,45.1,320.6,0.180
5,tcp,1024,8,32,1,0.433068,3.5477,71.00,81.00,53.7,44.9,98.6,0.0,0.228
5,direct,8192,8,32,1,0.471263,30.8847,70.00,100.00,98.5,90.4,188.9,0.0,0.401
5,dpumesh,8192,8,32,1,0.182297,11.9470,184.00,302.00,34.9,57.9,92.8,386.9,0.509
5,tcp,8192,8,32,1,0.159475,10.4514,194.00,395.00,60.4,56.7,117.1,0.0,0.734
5,direct,65536,8,32,1,0.065307,34.2395,458.00,938.00,99,79.1,178.1,0.0,2.727
5,dpumesh,65536,8,32,1,0.016224,8.5061,238.00,304.00,32.1,55.7,87.8,369.5,5.412
5,tcp,65536,8,32,1,0.023608,12.3776,1506.00,1840.00,74.8,64.5,139.3,0.0,5.901
5,direct,1048576,8,32,1,0.003686,30.9216,8409.00,16872.00,97.9,59.4,157.3,0.0,42.675
5,dpumesh,1048576,8,32,1,0.001692,14.1932,759.00,832.00,33.9,56.2,90.1,365.3,53.251
5,tcp,1048576,8,32,1,0.001721,14.4369,7015.00,9391.00,98.3,66.4,164.7,0.0,95.700
