transport,req,reply,conc,threads,mrps,gbps,p50,p99,host_client_pct,host_server_pct,host_total_pct,dpu_arm_pct,host_pct_per_krps
4-4,dpumesh,1024,8,8,1,0.066966,0.5486,114.00,172.00,20.7,35.1,55.8,321.4,0.833
4-4,tcp,1024,8,8,1,0.123105,1.0085,64.00,68.00,55.8,45.3,101.1,0.0,0.821
4-4,dpumesh,1024,8,32,1,0.192091,1.5736,175.00,237.00,29.6,55.9,85.5,426.3,0.445
4-4,tcp,1024,8,32,1,0.416789,3.4143,74.00,79.00,52.3,47.7,100,0.0,0.240
2-2,dpumesh,1024,8,8,1,0.065872,0.5396,114.00,173.00,20.2,34.9,55.1,310.6,0.836
2-2,tcp,1024,8,8,1,0.123068,1.0082,64.00,70.00,55,45.8,100.8,0.0,0.819
2-2,dpumesh,1024,8,32,1,0.199398,1.6335,174.00,233.00,30.2,57.4,87.6,278.8,0.439
2-2,tcp,1024,8,32,1,0.401939,3.2927,77.00,90.00,55.1,46.4,101.5,0.0,0.253
1-1,dpumesh,1024,8,8,1,0.067410,0.5522,113.00,174.00,33.3,44,77.3,94.6,1.147
1-1,tcp,1024,8,8,1,0.120092,0.9838,65.00,70.00,55.3,46.2,101.5,0.0,0.845
1-1,dpumesh,1024,8,32,1,0.099889,0.8183,338.00,400.00,42,61.5,103.5,99.5,1.036
1-1,tcp,1024,8,32,1,0.399059,3.2691,78.00,83.00,55.3,46.2,101.5,0.0,0.254
