config,transport,N,conc,agg_mrps,host_client_pct,host_server_pct,host_total_pct,dpu_arm_pct,host_per_krps
4-4,dpumesh,1,32,0.1906,27.2,51.7,78.9,377.1,0.414
4-4,dpumesh,2,32,0.2628,45.3,118.0,163.3,555.8,0.622
4-4,dpumesh,3,32,0.3784,60.2,116.9,177.1,723.7,0.468
4-4,tcp-envoy,1,32,0.4033,54.7,46.4,101.1,0.0,0.251
4-4,tcp-envoy,2,32,0.8066,109.4,92.8,202.2,0.0,0.251
4-4,tcp-envoy,3,32,1.2099,164.1,139.2,303.3,0.0,0.251
2-2,dpumesh,1,32,0.2014,30.0,57.8,87.8,378.8,0.436
2-2,dpumesh,2,32,0.3225,47.5,90.0,137.4,448.3,0.426
2-2,dpumesh,3,32,0.3854,64.5,132.0,196.6,464.0,0.510
2-2,tcp-envoy,1,32,0.4324,53.5,45.6,99.1,0.0,0.229
2-2,tcp-envoy,2,32,0.8648,107.0,91.2,198.2,0.0,0.229
2-2,tcp-envoy,3,32,1.2973,160.5,136.8,297.3,0.0,0.229
1-1,dpumesh,1,32,0.0985,42.2,61.2,103.4,98.2,1.050
1-1,dpumesh,2,32,0.0912,58.2,71.9,130.1,98.5,1.427
1-1,dpumesh,3,32,0.0867,65.9,75.8,141.7,97.7,1.634
1-1,tcp-envoy,1,32,0.3994,54.7,46.6,101.3,0.0,0.254
1-1,tcp-envoy,2,32,0.7987,109.4,93.2,202.6,0.0,0.254
1-1,tcp-envoy,3,32,1.1981,164.1,139.8,303.9,0.0,0.254
